"Colony.no.","Raw_file_name","Date_footage","Timepoint","Your_initials","Video_time_stamp","Event","Activity","Pollen_foraging","Standardized_time","...11","WGT","treatment","Obs_Duration","Pollen_foraging_binary","weight","enter_exit_binary","DateTime","RECORD","BattV_Avg","PTemp_C_Avg (Deg C) [Avg]","Air_Temp_Avg","RH (%) [Smp]","SlrW_Avg (W/m^2) [Avg]","SlrMJ_Tot (MJ/m^2) [Tot]","Grass_Temp_Avg (Deg C) [Avg]","Soil_Temp_2in_Avg (Deg C) [Avg]","Soil_Temp_4in_Avg (Deg C) [Avg]","WindDir (Degrees) [Smp]","WS_kph_ (kilometers/hour) [Avg]","Rain_mm_Tot (mm) [Tot]","...15","week"
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:35:35,"exit",0,"NA",557,NA,1,"Control",3600,NA,1,0,2024-05-29 11:35:35,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:35:49,"entrance_none",1,"no",571,NA,1,"Control",3600,0,1,1,2024-05-29 11:35:49,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:36:25,"exit",0,"NA",607,NA,1,"Control",3600,NA,1,0,2024-05-29 11:36:25,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:36:30,"exit",0,"NA",612,NA,1,"Control",3600,NA,1,0,2024-05-29 11:36:30,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:36:51,"exit",0,"NA",633,NA,1,"Control",3600,NA,1,0,2024-05-29 11:36:51,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:36:55,"entrance_pollen",1,"yes",637,NA,1,"Control",3600,1,1,1,2024-05-29 11:36:55,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:37:04,"exit",0,"NA",646,NA,1,"Control",3600,NA,1,0,2024-05-29 11:37:04,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:37:13,"entrance_pollen",1,"yes",655,NA,1,"Control",3600,1,1,1,2024-05-29 11:37:13,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:37:22,"exit",0,"NA",664,NA,1,"Control",3600,NA,1,0,2024-05-29 11:37:22,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:37:29,"entrance_pollen",1,"yes",671,NA,1,"Control",3600,1,1,1,2024-05-29 11:37:29,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:37:31,"exit",0,"NA",673,NA,1,"Control",3600,NA,1,0,2024-05-29 11:37:31,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:37:33,"exit",0,"NA",675,NA,1,"Control",3600,NA,1,0,2024-05-29 11:37:33,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:37:38,"exit",0,"NA",680,NA,1,"Control",3600,NA,1,0,2024-05-29 11:37:38,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:37:44,"exit",0,"NA",686,NA,1,"Control",3600,NA,1,0,2024-05-29 11:37:44,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:37:40,"entrance_pollen",1,"yes",682,NA,1,"Control",3600,1,1,1,2024-05-29 11:37:40,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:38:00,"exit",0,"NA",702,NA,1,"Control",3600,NA,1,0,2024-05-29 11:38:00,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:38:10,"exit",0,"NA",712,NA,1,"Control",3600,NA,1,0,2024-05-29 11:38:10,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:40:33,"exit",0,"NA",855,NA,1,"Control",3600,NA,1,0,2024-05-29 11:40:33,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:41:08,"exit",0,"NA",890,NA,1,"Control",3600,NA,1,0,2024-05-29 11:41:08,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:41:40,"entrance_pollen",1,"yes",922,NA,1,"Control",3600,1,1,1,2024-05-29 11:41:40,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:42:04,"entrance_none",1,"no",946,NA,1,"Control",3600,0,1,1,2024-05-29 11:42:04,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:42:56,"entrance_pollen",1,"yes",998,NA,1,"Control",3600,1,1,1,2024-05-29 11:42:56,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
